quant,power,split,spec,variant,target,prompt_n_med,pp_tok_s_med,tg_tok_s_med,ttft_ms_med,accept_rate_med,n
q6xl,220,tensor,mtp,mtp,196608,197095,821.7,70.14,239872,0.789,2
q6xl,220,tensor,mtp,mtp,258048,258903,738.8,69.68,350449,0.855,2
q6xl,220,tensor,mtp,mtp,32768,33021,1133.0,91.44,29146,0.847,2
q6xl,220,tensor,mtp,mtp,4096,4109,1069.6,86.95,3842,0.76,2
q6xl,220,tensor,mtp,mtp,512,496,762.0,91.41,651,0.743,2
q6xl,220,tensor,mtp,mtp,98304,98991,993.8,82.27,99612,0.868,2
q6xl,220,tensor,ngram,base,196608,197095,968.4,15.61,203522,0.359,2
q6xl,220,tensor,ngram,base,258048,258903,882.1,15.92,293517,0.391,2
q6xl,220,tensor,ngram,base,32768,33021,1275.8,16.74,25883,0.482,2
q6xl,220,tensor,ngram,base,4096,4109,1199.2,17.85,3427,0.417,2
q6xl,220,tensor,ngram,base,512,496,921.0,19.29,539,0.331,2
q6xl,220,tensor,ngram,base,98304,98991,1141.6,17.2,86713,0.464,2
q6xl,220,tensor,none,base,1024,1000,930.6,51.59,1075,,2
q6xl,220,tensor,none,base,131072,130367,1079.7,43.65,120747,,2
q6xl,220,tensor,none,base,16384,16404,1237.0,48.3,13261,,2
q6xl,220,tensor,none,base,196608,197095,969.5,40.83,203293,,2
q6xl,220,tensor,none,base,2048,2069,998.1,50.36,2073,,2
q6xl,220,tensor,none,base,258048,258903,882.0,38.34,293535,,2
q6xl,220,tensor,none,base,32768,33021,1238.8,48.1,26656,,2
q6xl,220,tensor,none,base,4096,4109,1136.3,49.64,3616,,2
q6xl,220,tensor,none,base,49152,48966,1199.1,46.4,40838,,2
q6xl,220,tensor,none,base,512,496,857.4,52.14,579,,2
q6xl,220,tensor,none,base,65536,65532,1174.0,45.7,55819,,2
q6xl,220,tensor,none,base,8192,8049,1240.1,49.8,6491,,2
q6xl,220,tensor,none,base,98304,98991,1137.3,45.38,87038,,2
q8,220,tensor,mtp,mtp,196608,197095,836.6,70.36,235590,0.772,2
q8,220,tensor,mtp,mtp,258048,258903,749.8,69.3,345283,0.872,2
q8,220,tensor,mtp,mtp,32768,33021,1159.7,95.36,28474,0.855,2
q8,220,tensor,mtp,mtp,4096,4109,1081.8,85.83,3798,0.76,2
q8,220,tensor,mtp,mtp,512,496,747.3,92.84,665,0.765,2
q8,220,tensor,mtp,mtp,98304,98991,1014.3,78.25,97593,0.749,2
q8,220,tensor,ngram,base,196608,197095,993.0,15.32,198489,0.33,2
q8,220,tensor,ngram,base,258048,258903,902.4,17.55,286896,0.43,2
q8,220,tensor,ngram,base,32768,33021,1310.6,18.39,25196,0.458,2
q8,220,tensor,ngram,base,4096,4109,1244.5,19.37,3302,0.417,2
q8,220,tensor,ngram,base,512,496,975.2,20.92,509,0.307,2
q8,220,tensor,ngram,base,98304,98991,1169.7,17.01,84630,0.336,2
q8,220,tensor,none,base,1024,1000,1033.0,52.06,968,,2
q8,220,tensor,none,base,131072,130367,1104.8,43.02,117997,,2
q8,220,tensor,none,base,16384,16404,1318.4,49.47,12443,,2
q8,220,tensor,none,base,196608,197095,989.5,40.15,199192,,2
q8,220,tensor,none,base,2048,2069,1109.9,51.26,1864,,2
q8,220,tensor,none,base,258048,258903,899.1,37.79,287953,,2
q8,220,tensor,none,base,32768,33021,1304.5,48.63,25314,,2
q8,220,tensor,none,base,4096,4109,1231.1,50.73,3338,,2
q8,220,tensor,none,base,49152,48966,1269.0,47.5,38587,,2
q8,220,tensor,none,base,512,496,932.4,51.92,532,,2
q8,220,tensor,none,base,65536,65532,1234.2,46.17,53096,,2
q8,220,tensor,none,base,8192,8049,1320.6,50.32,6095,,2
q8,220,tensor,none,base,98304,98991,1165.0,44.76,84968,,2
