quant,power,split,kind,depth,tok_s_median,n
q6xl,220,tensor,pp,512,1392.4,1
q6xl,220,tensor,pp,1024,1311.67,1
q6xl,220,tensor,pp,2048,1352.97,1
q6xl,220,tensor,pp,4096,1366.59,1
q6xl,220,tensor,pp,8192,1354.4,1
q6xl,220,tensor,pp,16384,1335.02,1
q6xl,220,tensor,pp,32768,1294.3,1
q6xl,220,tensor,pp,49152,1252.65,1
q6xl,220,tensor,pp,65536,1218.29,1
q6xl,220,tensor,pp,98304,1141.86,1
q6xl,220,tensor,pp,131072,1080.91,1
q6xl,220,tensor,pp,196608,969.43,1
q6xl,220,tensor,pp,262144,876.32,1
q6xl,220,tensor,tg,512,54.78,1
q6xl,220,tensor,tg,1024,54.39,1
q6xl,220,tensor,tg,2048,54.57,1
q6xl,220,tensor,tg,4096,53.58,1
q6xl,220,tensor,tg,8192,53.93,1
q6xl,220,tensor,tg,16384,53.38,1
q6xl,220,tensor,tg,32768,52.01,1
q6xl,220,tensor,tg,49152,50.87,1
q6xl,220,tensor,tg,65536,49.04,1
q6xl,220,tensor,tg,98304,47.64,1
q6xl,220,tensor,tg,131072,45.58,1
q6xl,220,tensor,tg,196608,42.35,1
q6xl,220,tensor,tg,262144,38.32,1
q8,220,tensor,pp,512,1457.79,1
q8,220,tensor,pp,1024,1336.62,1
q8,220,tensor,pp,2048,1386.54,1
q8,220,tensor,pp,4096,1387.67,1
q8,220,tensor,pp,8192,1383.91,1
q8,220,tensor,pp,16384,1366.48,1
q8,220,tensor,pp,32768,1324.1,1
q8,220,tensor,pp,49152,1280.51,1
q8,220,tensor,pp,65536,1244.92,1
q8,220,tensor,pp,98304,1168.3,1
q8,220,tensor,pp,131072,1104.24,1
q8,220,tensor,pp,196608,988.81,1
q8,220,tensor,pp,262144,892.6,1
q8,220,tensor,tg,512,53.68,1
q8,220,tensor,tg,1024,53.62,1
q8,220,tensor,tg,2048,53.51,1
q8,220,tensor,tg,4096,53.35,1
q8,220,tensor,tg,8192,52.95,1
q8,220,tensor,tg,16384,52.21,1
q8,220,tensor,tg,32768,51.0,1
q8,220,tensor,tg,49152,49.85,1
q8,220,tensor,tg,65536,48.43,1
q8,220,tensor,tg,98304,46.84,1
q8,220,tensor,tg,131072,44.97,1
q8,220,tensor,tg,196608,41.17,1
q8,220,tensor,tg,262144,38.99,1
