run,gpu,power_W_med,power_W_max,temp_med,temp_max,sm_clock_med,util_med,mem_used_max_MiB,samples
real_q6xl_tensor_220w_mtp,0,202.2,217.9,63.0,65.0,1770,100,11669,2565
real_q6xl_tensor_220w_mtp,1,206.4,220.4,68.0,69.0,1680,100,11669,2565
real_q6xl_tensor_220w_mtp,2,204.3,220.5,72.0,74.0,1710,100,11669,2565
real_q6xl_tensor_220w_mtp,3,207.1,220.6,69.0,70.0,1695,100,11669,2565
real_q6xl_tensor_220w_ngram,0,207.7,220.0,64.0,66.0,1755,100,10795,2432
real_q6xl_tensor_220w_ngram,1,210.4,220.6,69.0,71.0,1665,100,10795,2432
real_q6xl_tensor_220w_ngram,2,209.0,220.1,73.0,75.0,1710,100,10795,2432
real_q6xl_tensor_220w_ngram,3,210.7,220.7,69.0,71.0,1695,100,10795,2432
real_q6xl_tensor_220w_none,0,210.9,221.4,65.0,66.0,1755,100,10793,3164
real_q6xl_tensor_220w_none,1,213.8,221.4,69.0,71.0,1665,100,10793,3164
real_q6xl_tensor_220w_none,2,212.3,221.7,74.0,75.0,1710,100,10793,3164
real_q6xl_tensor_220w_none,3,214.0,221.9,70.0,71.0,1695,100,10793,3164
real_q8_tensor_220w_mtp,0,201.6,218.2,64.0,66.0,1785,100,12351,2535
real_q8_tensor_220w_mtp,1,205.9,220.3,69.0,71.0,1680,100,12351,2535
real_q8_tensor_220w_mtp,2,203.8,218.6,73.0,75.0,1725,100,12351,2535
real_q8_tensor_220w_mtp,3,207.0,221.0,69.0,71.0,1710,100,12351,2535
real_q8_tensor_220w_ngram,0,208.0,217.0,65.0,66.0,1770,100,11459,2352
real_q8_tensor_220w_ngram,1,210.6,220.4,69.0,71.0,1680,100,11459,2352
real_q8_tensor_220w_ngram,2,208.9,219.9,74.0,75.0,1725,100,11459,2352
real_q8_tensor_220w_ngram,3,211.3,220.6,70.0,71.0,1710,100,11459,2352
real_q8_tensor_220w_none,0,211.0,220.3,65.0,67.0,1785,100,11457,3123
real_q8_tensor_220w_none,1,213.8,221.1,69.0,72.0,1695,100,11457,3123
real_q8_tensor_220w_none,2,212.1,220.7,74.0,76.0,1740,100,11457,3123
real_q8_tensor_220w_none,3,214.2,221.1,70.0,71.0,1710,100,11457,3123
syn_q6xl_tensor_220w,0,210.3,220.2,64.0,67.0,1755,100,10913,6518
syn_q6xl_tensor_220w,1,213.0,220.8,68.0,72.0,1695,100,10913,6518
syn_q6xl_tensor_220w,2,211.2,220.6,73.0,76.0,1710,100,10913,6518
syn_q6xl_tensor_220w,3,213.1,220.6,69.0,71.0,1710,100,10913,6518
syn_q8_tensor_220w,0,209.7,220.7,65.0,67.0,1770,100,11575,6421
syn_q8_tensor_220w,1,212.7,221.4,69.0,73.0,1710,100,11575,6421
syn_q8_tensor_220w,2,210.9,220.5,74.0,76.0,1725,100,11575,6421
syn_q8_tensor_220w,3,213.1,221.9,70.0,72.0,1710,100,11575,6421
