t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784678861.773,real_q6xl_tensor_220w_mtp,0,0,11537,101.30,54,1710,9251,3,16
1784678861.773,real_q6xl_tensor_220w_mtp,1,0,11537,117.07,59,1710,9251,3,16
1784678861.773,real_q6xl_tensor_220w_mtp,2,0,11537,106.20,62,1710,9251,3,16
1784678861.773,real_q6xl_tensor_220w_mtp,3,0,11537,113.86,58,1710,9251,3,16
1784678862.365,real_q6xl_tensor_220w_mtp,0,100,11575,115.05,58,1875,9251,3,16
1784678862.365,real_q6xl_tensor_220w_mtp,1,100,11575,132.26,62,1815,9251,3,16
1784678862.365,real_q6xl_tensor_220w_mtp,2,0,11575,120.40,64,1710,9251,3,16
1784678862.365,real_q6xl_tensor_220w_mtp,3,0,11575,124.05,61,1815,9251,3,16
1784678862.962,real_q6xl_tensor_220w_mtp,0,16,11647,148.55,56,1935,9251,3,16
1784678862.962,real_q6xl_tensor_220w_mtp,1,24,11647,158.01,62,1920,9251,3,16
1784678862.962,real_q6xl_tensor_220w_mtp,2,23,11647,146.38,64,1920,9251,3,16
1784678862.962,real_q6xl_tensor_220w_mtp,3,28,11649,158.02,61,1935,9251,3,16
1784678863.533,real_q6xl_tensor_220w_mtp,0,100,11665,160.34,58,1875,9251,3,16
1784678863.533,real_q6xl_tensor_220w_mtp,1,100,11665,175.66,63,1785,9251,3,16
1784678863.533,real_q6xl_tensor_220w_mtp,2,23,11665,165.45,66,1830,9251,3,16
1784678863.533,real_q6xl_tensor_220w_mtp,3,28,11665,175.02,63,1830,9251,3,16
1784678864.130,real_q6xl_tensor_220w_mtp,0,100,11665,172.06,57,1935,9251,3,16
1784678864.130,real_q6xl_tensor_220w_mtp,1,100,11665,184.85,63,1920,9251,3,16
1784678864.130,real_q6xl_tensor_220w_mtp,2,32,11665,175.60,65,1920,9251,3,16
1784678864.130,real_q6xl_tensor_220w_mtp,3,31,11665,185.52,62,1935,9251,3,16
1784678864.701,real_q6xl_tensor_220w_mtp,0,80,11665,182.57,58,1755,9251,3,16
1784678864.701,real_q6xl_tensor_220w_mtp,1,80,11665,193.04,64,1650,9251,3,16
1784678864.701,real_q6xl_tensor_220w_mtp,2,80,11665,186.67,66,1755,9251,3,16
1784678864.701,real_q6xl_tensor_220w_mtp,3,79,11665,193.35,63,1665,9251,3,16
1784678865.298,real_q6xl_tensor_220w_mtp,0,80,11665,209.60,59,1830,9251,3,16
1784678865.298,real_q6xl_tensor_220w_mtp,1,80,11665,214.92,64,1620,9251,3,16
1784678865.298,real_q6xl_tensor_220w_mtp,2,79,11665,215.30,66,1770,9251,3,16
1784678865.298,real_q6xl_tensor_220w_mtp,3,79,11665,214.71,63,1650,9251,3,16
1784678865.886,real_q6xl_tensor_220w_mtp,0,80,11665,216.68,59,1740,9251,3,16
1784678865.886,real_q6xl_tensor_220w_mtp,1,82,11665,217.91,64,1650,9251,3,16
1784678865.886,real_q6xl_tensor_220w_mtp,2,79,11665,217.59,67,1740,9251,3,16
1784678865.886,real_q6xl_tensor_220w_mtp,3,79,11665,218.46,63,1650,9251,3,16
1784678866.456,real_q6xl_tensor_220w_mtp,0,81,11665,217.74,59,1815,9251,3,16
1784678866.456,real_q6xl_tensor_220w_mtp,1,82,11665,218.32,64,1725,9251,3,16
1784678866.456,real_q6xl_tensor_220w_mtp,2,82,11665,217.69,67,1740,9251,3,16
1784678866.456,real_q6xl_tensor_220w_mtp,3,81,11665,218.55,64,1755,9251,3,16
1784678867.028,real_q6xl_tensor_220w_mtp,0,81,11665,209.42,58,1860,9251,3,16
1784678867.028,real_q6xl_tensor_220w_mtp,1,89,11665,212.27,64,1785,9251,3,16
1784678867.028,real_q6xl_tensor_220w_mtp,2,82,11665,210.70,67,1830,9251,3,16
1784678867.028,real_q6xl_tensor_220w_mtp,3,81,11665,212.81,64,1815,9251,3,16
1784678867.629,real_q6xl_tensor_220w_mtp,0,51,11665,185.31,58,1935,9251,3,16
1784678867.629,real_q6xl_tensor_220w_mtp,1,89,11665,194.84,63,1905,9251,3,16
1784678867.629,real_q6xl_tensor_220w_mtp,2,43,11665,190.38,66,1920,9251,3,16
1784678867.629,real_q6xl_tensor_220w_mtp,3,37,11665,194.67,63,1935,9251,3,16
1784678868.219,real_q6xl_tensor_220w_mtp,0,79,11665,190.98,59,1800,9251,3,16
1784678868.219,real_q6xl_tensor_220w_mtp,1,78,11665,197.40,64,1710,9251,3,16
1784678868.219,real_q6xl_tensor_220w_mtp,2,79,11665,194.62,67,1680,9251,3,16
1784678868.219,real_q6xl_tensor_220w_mtp,3,79,11665,199.17,63,1740,9251,3,16
1784678868.820,real_q6xl_tensor_220w_mtp,0,80,11665,217.18,59,1785,9251,3,16
1784678868.820,real_q6xl_tensor_220w_mtp,1,78,11665,214.08,64,1710,9251,3,16
1784678868.820,real_q6xl_tensor_220w_mtp,2,80,11665,214.38,67,1680,9251,3,16
1784678868.820,real_q6xl_tensor_220w_mtp,3,80,11665,217.24,63,1725,9251,3,16
1784678869.417,real_q6xl_tensor_220w_mtp,0,80,11665,216.82,59,1785,9251,3,16
1784678869.417,real_q6xl_tensor_220w_mtp,1,80,11665,218.61,64,1680,9251,3,16
1784678869.417,real_q6xl_tensor_220w_mtp,2,80,11665,217.93,67,1755,9251,3,16
1784678869.417,real_q6xl_tensor_220w_mtp,3,80,11665,217.52,64,1710,9251,3,16
1784678869.991,real_q6xl_tensor_220w_mtp,0,81,11665,217.62,59,1785,9251,3,16
1784678869.991,real_q6xl_tensor_220w_mtp,1,80,11665,218.26,64,1725,9251,3,16
1784678869.991,real_q6xl_tensor_220w_mtp,2,80,11665,218.15,67,1740,9251,3,16
1784678869.991,real_q6xl_tensor_220w_mtp,3,80,11665,217.88,64,1710,9251,3,16
1784678870.563,real_q6xl_tensor_220w_mtp,0,81,11665,209.33,59,1875,9251,3,16
1784678870.563,real_q6xl_tensor_220w_mtp,1,100,11665,211.00,64,1785,9251,3,16
1784678870.563,real_q6xl_tensor_220w_mtp,2,80,11665,210.13,68,1845,9251,3,16
1784678870.563,real_q6xl_tensor_220w_mtp,3,80,11665,211.86,64,1815,9251,3,16
1784678871.140,real_q6xl_tensor_220w_mtp,0,77,11665,205.76,60,1860,9251,3,16
1784678871.140,real_q6xl_tensor_220w_mtp,1,100,11665,210.73,64,1800,9251,3,16
1784678871.140,real_q6xl_tensor_220w_mtp,2,76,11665,206.10,68,1845,9251,3,16
1784678871.140,real_q6xl_tensor_220w_mtp,3,76,11665,211.45,65,1830,9251,3,16
1784678871.736,real_q6xl_tensor_220w_mtp,0,90,11667,212.62,60,1875,9251,3,16
1784678871.736,real_q6xl_tensor_220w_mtp,1,100,11667,218.23,65,1770,9251,3,16
1784678871.736,real_q6xl_tensor_220w_mtp,2,90,11667,213.54,68,1830,9251,3,16
1784678871.736,real_q6xl_tensor_220w_mtp,3,100,11667,217.48,65,1815,9251,3,16
1784678872.315,real_q6xl_tensor_220w_mtp,0,100,11669,201.45,60,1875,9251,3,16
1784678872.315,real_q6xl_tensor_220w_mtp,1,100,11669,208.04,64,1785,9251,3,16
1784678872.315,real_q6xl_tensor_220w_mtp,2,100,11669,203.07,68,1830,9251,3,16
1784678872.315,real_q6xl_tensor_220w_mtp,3,100,11669,207.99,64,1815,9251,3,16
