t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784677430.346,real_q6xl_tensor_220w_ngram,0,0,10691,102.52,57,1710,9251,3,16
1784677430.346,real_q6xl_tensor_220w_ngram,1,0,10691,118.12,62,1710,9251,3,16
1784677430.346,real_q6xl_tensor_220w_ngram,2,0,10691,108.11,65,1710,9251,3,16
1784677430.346,real_q6xl_tensor_220w_ngram,3,0,10691,115.11,61,1710,9251,3,16
1784677430.932,real_q6xl_tensor_220w_ngram,0,0,10729,124.56,60,1860,9251,3,16
1784677430.932,real_q6xl_tensor_220w_ngram,1,0,10729,134.33,65,1785,9251,3,16
1784677430.932,real_q6xl_tensor_220w_ngram,2,0,10729,127.08,68,1830,9251,3,16
1784677430.932,real_q6xl_tensor_220w_ngram,3,0,10729,137.82,65,1815,9251,3,16
1784677431.565,real_q6xl_tensor_220w_ngram,0,46,10755,156.07,59,1935,9251,3,16
1784677431.565,real_q6xl_tensor_220w_ngram,1,11,10755,170.61,64,1920,9251,3,16
1784677431.565,real_q6xl_tensor_220w_ngram,2,1,10755,163.48,67,1905,9251,3,16
1784677431.565,real_q6xl_tensor_220w_ngram,3,4,10755,173.27,64,1935,9251,3,16
1784677432.130,real_q6xl_tensor_220w_ngram,0,27,10757,153.22,59,1935,9251,3,16
1784677432.130,real_q6xl_tensor_220w_ngram,1,18,10757,168.37,65,1920,9251,3,16
1784677432.130,real_q6xl_tensor_220w_ngram,2,26,10757,158.53,67,1905,9251,3,16
1784677432.130,real_q6xl_tensor_220w_ngram,3,4,10757,172.15,64,1935,9251,3,16
1784677432.716,real_q6xl_tensor_220w_ngram,0,74,10757,173.05,60,1935,9251,3,16
1784677432.716,real_q6xl_tensor_220w_ngram,1,39,10757,186.07,65,1920,9251,3,16
1784677432.716,real_q6xl_tensor_220w_ngram,2,26,10757,176.88,69,1905,9251,3,16
1784677432.716,real_q6xl_tensor_220w_ngram,3,84,10757,187.69,65,1935,9251,3,16
1784677433.301,real_q6xl_tensor_220w_ngram,0,74,10757,176.98,59,1935,9251,3,16
1784677433.301,real_q6xl_tensor_220w_ngram,1,39,10757,190.41,65,1920,9251,3,16
1784677433.301,real_q6xl_tensor_220w_ngram,2,23,10757,181.84,67,1905,9251,3,16
1784677433.301,real_q6xl_tensor_220w_ngram,3,84,10757,191.20,64,1935,9251,3,16
1784677433.885,real_q6xl_tensor_220w_ngram,0,58,10791,157.46,59,1695,9251,3,16
1784677433.885,real_q6xl_tensor_220w_ngram,1,38,10791,173.46,65,1620,9251,3,16
1784677433.885,real_q6xl_tensor_220w_ngram,2,23,10791,161.69,67,1665,9251,3,16
1784677433.885,real_q6xl_tensor_220w_ngram,3,46,10791,175.95,65,1620,9251,3,16
1784677434.453,real_q6xl_tensor_220w_ngram,0,58,10791,155.39,60,1935,9251,3,16
1784677434.453,real_q6xl_tensor_220w_ngram,1,38,10791,174.92,66,1920,9251,3,16
1784677434.453,real_q6xl_tensor_220w_ngram,2,42,10791,162.56,68,1905,9251,3,16
1784677434.453,real_q6xl_tensor_220w_ngram,3,46,10791,172.12,64,1920,9251,3,16
1784677435.037,real_q6xl_tensor_220w_ngram,0,41,10791,155.58,59,1935,9251,3,16
1784677435.037,real_q6xl_tensor_220w_ngram,1,22,10791,172.93,64,1920,9251,3,16
1784677435.037,real_q6xl_tensor_220w_ngram,2,42,10791,162.20,67,1905,9251,3,16
1784677435.037,real_q6xl_tensor_220w_ngram,3,21,10791,170.27,64,1920,9251,3,16
1784677435.622,real_q6xl_tensor_220w_ngram,0,35,10791,158.14,60,1755,9251,3,16
1784677435.622,real_q6xl_tensor_220w_ngram,1,26,10791,180.55,66,1785,9251,3,16
1784677435.622,real_q6xl_tensor_220w_ngram,2,71,10791,170.81,69,1695,9251,3,16
1784677435.622,real_q6xl_tensor_220w_ngram,3,26,10791,174.50,65,1695,9251,3,16
1784677436.218,real_q6xl_tensor_220w_ngram,0,31,10791,157.48,59,1935,9251,3,16
1784677436.218,real_q6xl_tensor_220w_ngram,1,26,10791,176.41,65,1920,9251,3,16
1784677436.218,real_q6xl_tensor_220w_ngram,2,71,10791,165.23,67,1905,9251,3,16
1784677436.218,real_q6xl_tensor_220w_ngram,3,31,10791,160.73,62,1710,9251,3,16
1784677436.813,real_q6xl_tensor_220w_ngram,0,31,10791,147.69,59,1935,9251,3,16
1784677436.813,real_q6xl_tensor_220w_ngram,1,26,10791,170.23,65,1920,9251,3,16
1784677436.813,real_q6xl_tensor_220w_ngram,2,40,10791,158.37,67,1905,9251,3,16
1784677436.813,real_q6xl_tensor_220w_ngram,3,31,10791,135.77,61,1710,9251,3,16
1784677437.382,real_q6xl_tensor_220w_ngram,0,26,10791,163.35,58,1935,9251,3,16
1784677437.382,real_q6xl_tensor_220w_ngram,1,37,10791,182.02,65,1815,9251,3,16
1784677437.382,real_q6xl_tensor_220w_ngram,2,40,10791,171.69,67,1905,9251,3,16
1784677437.382,real_q6xl_tensor_220w_ngram,3,31,10791,155.30,63,1935,9251,3,16
1784677437.970,real_q6xl_tensor_220w_ngram,0,26,10791,173.89,60,1710,9251,3,16
1784677437.970,real_q6xl_tensor_220w_ngram,1,37,10791,173.87,65,1605,9251,3,16
1784677437.970,real_q6xl_tensor_220w_ngram,2,79,10791,176.63,68,1650,9251,3,16
1784677437.970,real_q6xl_tensor_220w_ngram,3,31,10791,181.49,65,1635,9251,3,16
1784677438.564,real_q6xl_tensor_220w_ngram,0,41,10791,158.38,58,1935,9251,3,16
1784677438.564,real_q6xl_tensor_220w_ngram,1,26,10791,166.99,65,1920,9251,3,16
1784677438.564,real_q6xl_tensor_220w_ngram,2,30,10791,165.54,67,1905,9251,3,16
1784677438.564,real_q6xl_tensor_220w_ngram,3,36,10791,175.11,63,1935,9251,3,16
1784677439.148,real_q6xl_tensor_220w_ngram,0,41,10791,151.87,59,1935,9251,3,16
1784677439.148,real_q6xl_tensor_220w_ngram,1,26,10791,172.81,65,1830,9251,3,16
1784677439.148,real_q6xl_tensor_220w_ngram,2,34,10791,161.78,68,1905,9251,3,16
1784677439.148,real_q6xl_tensor_220w_ngram,3,36,10791,178.61,64,1830,9251,3,16
1784677439.723,real_q6xl_tensor_220w_ngram,0,41,10791,166.34,59,1935,9251,3,16
1784677439.723,real_q6xl_tensor_220w_ngram,1,19,10791,181.88,65,1920,9251,3,16
1784677439.723,real_q6xl_tensor_220w_ngram,2,34,10791,172.83,67,1905,9251,3,16
1784677439.723,real_q6xl_tensor_220w_ngram,3,40,10791,182.88,63,1935,9251,3,16
1784677440.317,real_q6xl_tensor_220w_ngram,0,41,10791,164.04,59,1935,9251,3,16
1784677440.317,real_q6xl_tensor_220w_ngram,1,19,10791,176.43,65,1920,9251,3,16
1784677440.317,real_q6xl_tensor_220w_ngram,2,17,10791,166.47,67,1905,9251,3,16
1784677440.317,real_q6xl_tensor_220w_ngram,3,40,10791,180.11,63,1935,9251,3,16
1784677440.886,real_q6xl_tensor_220w_ngram,0,37,10791,162.36,59,1935,9251,3,16
1784677440.886,real_q6xl_tensor_220w_ngram,1,37,10791,181.05,65,1905,9251,3,16
1784677440.886,real_q6xl_tensor_220w_ngram,2,17,10791,170.82,68,1905,9251,3,16
1784677440.886,real_q6xl_tensor_220w_ngram,3,34,10791,178.92,64,1935,9251,3,16
1784677441.452,real_q6xl_tensor_220w_ngram,0,37,10791,154.12,58,1920,9251,3,16
1784677441.452,real_q6xl_tensor_220w_ngram,1,37,10791,171.81,65,1920,9251,3,16
1784677441.452,real_q6xl_tensor_220w_ngram,2,19,10791,160.73,67,1905,9251,3,16
1784677441.452,real_q6xl_tensor_220w_ngram,3,34,10791,171.71,63,1905,9251,3,16
1784677442.058,real_q6xl_tensor_220w_ngram,0,16,10791,155.59,59,1935,9251,3,16
1784677442.058,real_q6xl_tensor_220w_ngram,1,39,10791,175.29,64,1920,9251,3,16
