t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784675560.088,real_q6xl_tensor_220w_none,0,0,10691,99.35,52,1710,9251,3,16
1784675560.088,real_q6xl_tensor_220w_none,1,0,10691,115.54,57,1710,9251,3,16
1784675560.088,real_q6xl_tensor_220w_none,2,0,10691,104.52,60,1710,9251,3,16
1784675560.088,real_q6xl_tensor_220w_none,3,0,10691,112.13,56,1710,9251,3,16
1784675560.695,real_q6xl_tensor_220w_none,0,0,10729,105.16,55,1890,9251,3,16
1784675560.695,real_q6xl_tensor_220w_none,1,0,10729,123.33,59,1815,9251,3,16
1784675560.695,real_q6xl_tensor_220w_none,2,0,10729,116.06,63,1860,9251,3,16
1784675560.695,real_q6xl_tensor_220w_none,3,0,10729,123.50,58,1830,9251,3,16
1784675561.304,real_q6xl_tensor_220w_none,0,21,10755,144.07,54,1725,9251,3,16
1784675561.304,real_q6xl_tensor_220w_none,1,18,10755,158.89,59,1650,9251,3,16
1784675561.304,real_q6xl_tensor_220w_none,2,31,10755,154.27,63,1725,9251,3,16
1784675561.304,real_q6xl_tensor_220w_none,3,55,10755,163.16,59,1665,9251,3,16
1784675561.905,real_q6xl_tensor_220w_none,0,21,10755,181.98,56,1890,9251,3,16
1784675561.905,real_q6xl_tensor_220w_none,1,18,10755,192.72,61,1815,9251,3,16
1784675561.905,real_q6xl_tensor_220w_none,2,31,10755,185.73,65,1860,9251,3,16
1784675561.905,real_q6xl_tensor_220w_none,3,55,10755,192.06,61,1845,9251,3,16
1784675562.522,real_q6xl_tensor_220w_none,0,92,10755,189.15,56,1755,9251,3,16
1784675562.522,real_q6xl_tensor_220w_none,1,93,10755,195.37,61,1650,9251,3,16
1784675562.522,real_q6xl_tensor_220w_none,2,93,10755,192.34,64,1710,9251,3,16
1784675562.522,real_q6xl_tensor_220w_none,3,93,10755,198.18,61,1665,9251,3,16
