t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784687335.659,real_q8_tensor_220w_mtp,0,0,12263,96.17,55,1710,9251,3,16
1784687335.659,real_q8_tensor_220w_mtp,1,0,12263,111.33,60,1710,9251,3,16
1784687335.659,real_q8_tensor_220w_mtp,2,0,12263,100.45,62,1710,9251,3,16
1784687335.659,real_q8_tensor_220w_mtp,3,0,12263,109.32,59,1710,9251,3,16
1784687336.253,real_q8_tensor_220w_mtp,0,0,12317,126.27,56,1935,9251,3,16
1784687336.253,real_q8_tensor_220w_mtp,1,0,12317,143.63,63,1905,9251,3,16
1784687336.253,real_q8_tensor_220w_mtp,2,0,12317,133.63,65,1920,9251,3,16
1784687336.253,real_q8_tensor_220w_mtp,3,0,12317,140.93,61,1935,9251,3,16
1784687336.843,real_q8_tensor_220w_mtp,0,27,12345,155.61,56,1935,9251,3,16
1784687336.843,real_q8_tensor_220w_mtp,1,28,12345,177.29,63,1800,9251,3,16
1784687336.843,real_q8_tensor_220w_mtp,2,27,12345,168.03,65,1920,9251,3,16
1784687336.843,real_q8_tensor_220w_mtp,3,21,12345,173.18,62,1890,9251,3,16
1784687337.444,real_q8_tensor_220w_mtp,0,27,12345,164.67,57,1935,9251,3,16
1784687337.444,real_q8_tensor_220w_mtp,1,28,12345,179.67,62,1905,9251,3,16
1784687337.444,real_q8_tensor_220w_mtp,2,27,12345,170.53,64,1920,9251,3,16
1784687337.444,real_q8_tensor_220w_mtp,3,27,12345,179.84,62,1935,9251,3,16
1784687338.032,real_q8_tensor_220w_mtp,0,76,12345,181.70,59,1860,9251,3,16
1784687338.032,real_q8_tensor_220w_mtp,1,75,12345,193.19,64,1800,9251,3,16
1784687338.032,real_q8_tensor_220w_mtp,2,76,12345,186.02,67,1830,9251,3,16
1784687338.032,real_q8_tensor_220w_mtp,3,78,12345,193.30,64,1815,9251,3,16
1784687338.630,real_q8_tensor_220w_mtp,0,76,12345,209.82,59,1860,9251,3,16
1784687338.630,real_q8_tensor_220w_mtp,1,75,12345,212.13,65,1755,9251,3,16
1784687338.630,real_q8_tensor_220w_mtp,2,76,12345,208.21,67,1740,9251,3,16
1784687338.630,real_q8_tensor_220w_mtp,3,78,12345,215.23,64,1770,9251,3,16
1784687339.225,real_q8_tensor_220w_mtp,0,79,12345,218.25,59,1845,9251,3,16
1784687339.225,real_q8_tensor_220w_mtp,1,80,12345,218.50,65,1785,9251,3,16
1784687339.225,real_q8_tensor_220w_mtp,2,79,12345,217.94,67,1785,9251,3,16
1784687339.225,real_q8_tensor_220w_mtp,3,80,12345,218.33,64,1785,9251,3,16
1784687339.799,real_q8_tensor_220w_mtp,0,79,12345,218.22,59,1845,9251,3,16
1784687339.799,real_q8_tensor_220w_mtp,1,80,12345,218.42,65,1755,9251,3,16
1784687339.799,real_q8_tensor_220w_mtp,2,79,12345,218.12,67,1800,9251,3,16
1784687339.799,real_q8_tensor_220w_mtp,3,80,12345,218.72,64,1785,9251,3,16
1784687340.372,real_q8_tensor_220w_mtp,0,24,12345,206.18,58,1890,9251,3,16
1784687340.372,real_q8_tensor_220w_mtp,1,77,12345,210.04,63,1800,9251,3,16
1784687340.372,real_q8_tensor_220w_mtp,2,70,12345,207.32,67,1845,9251,3,16
1784687340.372,real_q8_tensor_220w_mtp,3,29,12345,209.28,64,1830,9251,3,16
1784687340.966,real_q8_tensor_220w_mtp,0,20,12345,185.43,57,1935,9251,3,16
1784687340.966,real_q8_tensor_220w_mtp,1,13,12345,192.82,64,1905,9251,3,16
1784687340.966,real_q8_tensor_220w_mtp,2,27,12345,186.88,66,1905,9251,3,16
1784687340.966,real_q8_tensor_220w_mtp,3,15,12345,192.37,63,1935,9251,3,16
1784687341.568,real_q8_tensor_220w_mtp,0,79,12345,189.59,59,1860,9251,3,16
1784687341.568,real_q8_tensor_220w_mtp,1,77,12345,199.89,65,1740,9251,3,16
1784687341.568,real_q8_tensor_220w_mtp,2,78,12345,194.54,67,1755,9251,3,16
1784687341.568,real_q8_tensor_220w_mtp,3,79,12345,199.11,64,1785,9251,3,16
1784687342.141,real_q8_tensor_220w_mtp,0,79,12345,213.77,59,1845,9251,3,16
1784687342.141,real_q8_tensor_220w_mtp,1,77,12345,216.43,65,1785,9251,3,16
1784687342.141,real_q8_tensor_220w_mtp,2,78,12345,214.98,68,1830,9251,3,16
1784687342.141,real_q8_tensor_220w_mtp,3,79,12345,215.91,64,1740,9251,3,16
1784687342.731,real_q8_tensor_220w_mtp,0,81,12345,217.70,59,1830,9251,3,16
1784687342.731,real_q8_tensor_220w_mtp,1,78,12345,218.49,65,1695,9251,3,16
1784687342.731,real_q8_tensor_220w_mtp,2,81,12345,218.57,68,1755,9251,3,16
1784687342.731,real_q8_tensor_220w_mtp,3,81,12345,218.46,65,1740,9251,3,16
1784687343.329,real_q8_tensor_220w_mtp,0,81,12345,217.57,60,1860,9251,3,16
1784687343.329,real_q8_tensor_220w_mtp,1,78,12345,218.65,65,1755,9251,3,16
1784687343.329,real_q8_tensor_220w_mtp,2,81,12345,218.28,68,1755,9251,3,16
1784687343.329,real_q8_tensor_220w_mtp,3,81,12345,218.28,65,1785,9251,3,16
1784687343.923,real_q8_tensor_220w_mtp,0,100,12345,201.39,59,1890,9251,3,16
1784687343.923,real_q8_tensor_220w_mtp,1,100,12345,206.28,65,1815,9251,3,16
1784687343.923,real_q8_tensor_220w_mtp,2,100,12345,202.69,68,1830,9251,3,16
1784687343.923,real_q8_tensor_220w_mtp,3,100,12345,206.07,65,1830,9251,3,16
1784687344.530,real_q8_tensor_220w_mtp,0,100,12345,198.07,60,1890,9251,3,16
1784687344.530,real_q8_tensor_220w_mtp,1,81,12345,204.82,65,1785,9251,3,16
1784687344.530,real_q8_tensor_220w_mtp,2,81,12345,200.41,68,1845,9251,3,16
1784687344.530,real_q8_tensor_220w_mtp,3,81,12345,205.38,65,1815,9251,3,16
1784687345.109,real_q8_tensor_220w_mtp,0,100,12347,212.77,60,1890,9251,3,16
1784687345.109,real_q8_tensor_220w_mtp,1,81,12347,216.82,66,1800,9251,3,16
1784687345.109,real_q8_tensor_220w_mtp,2,81,12347,214.98,69,1845,9251,3,16
1784687345.109,real_q8_tensor_220w_mtp,3,81,12347,217.13,65,1815,9251,3,16
1784687345.700,real_q8_tensor_220w_mtp,0,100,12349,201.65,60,1875,9251,3,16
1784687345.700,real_q8_tensor_220w_mtp,1,100,12349,207.66,66,1815,9251,3,16
1784687345.700,real_q8_tensor_220w_mtp,2,100,12349,204.28,69,1845,9251,3,16
1784687345.700,real_q8_tensor_220w_mtp,3,97,12349,208.18,65,1845,9251,3,16
1784687346.292,real_q8_tensor_220w_mtp,0,100,12349,202.45,60,1890,9251,3,16
1784687346.292,real_q8_tensor_220w_mtp,1,100,12349,206.83,66,1815,9251,3,16
1784687346.292,real_q8_tensor_220w_mtp,2,100,12349,203.09,69,1845,9251,3,16
1784687346.292,real_q8_tensor_220w_mtp,3,97,12349,210.65,66,1830,9251,3,16
1784687346.930,real_q8_tensor_220w_mtp,0,100,12349,187.38,59,1890,9251,3,16
1784687346.930,real_q8_tensor_220w_mtp,1,36,12349,196.84,64,1800,9251,3,16
1784687346.930,real_q8_tensor_220w_mtp,2,32,12349,191.42,67,1845,9251,3,16
1784687346.930,real_q8_tensor_220w_mtp,3,83,12349,196.75,64,1830,9251,3,16
1784687347.530,real_q8_tensor_220w_mtp,0,34,12349,163.10,58,1935,9251,3,16
1784687347.530,real_q8_tensor_220w_mtp,1,18,12349,180.32,64,1905,9251,3,16
1784687347.530,real_q8_tensor_220w_mtp,2,16,12349,172.94,67,1905,9251,3,16
1784687347.530,real_q8_tensor_220w_mtp,3,19,12349,177.18,64,1935,9251,3,16
1784687348.133,real_q8_tensor_220w_mtp,0,34,12349,184.43,60,1800,9251,3,16
1784687348.133,real_q8_tensor_220w_mtp,1,79,12349,195.81,65,1680,9251,3,16
1784687348.133,real_q8_tensor_220w_mtp,2,76,12349,189.80,68,1725,9251,3,16
1784687348.133,real_q8_tensor_220w_mtp,3,71,12349,194.83,65,1815,9251,3,16
1784687348.771,real_q8_tensor_220w_mtp,0,74,12349,214.40,60,1860,9251,3,16
1784687348.771,real_q8_tensor_220w_mtp,1,79,12349,217.88,65,1770,9251,3,16
1784687348.771,real_q8_tensor_220w_mtp,2,76,12349,217.01,68,1815,9251,3,16
1784687348.771,real_q8_tensor_220w_mtp,3,71,12349,215.93,65,1800,9251,3,16
1784687349.410,real_q8_tensor_220w_mtp,0,74,12349,216.14,60,1875,9251,3,16
1784687349.410,real_q8_tensor_220w_mtp,1,74,12349,216.97,65,1800,9251,3,16
1784687349.410,real_q8_tensor_220w_mtp,2,75,12349,216.37,68,1830,9251,3,16
1784687349.410,real_q8_tensor_220w_mtp,3,78,12349,216.32,65,1815,9251,3,16
1784687350.027,real_q8_tensor_220w_mtp,0,82,12349,216.92,60,1770,9251,3,16
1784687350.027,real_q8_tensor_220w_mtp,1,80,12349,217.21,65,1725,9251,3,16
1784687350.027,real_q8_tensor_220w_mtp,2,81,12349,216.58,69,1740,9251,3,16
1784687350.027,real_q8_tensor_220w_mtp,3,80,12349,217.07,65,1695,9251,3,16
1784687350.646,real_q8_tensor_220w_mtp,0,82,12349,193.13,60,1890,9251,3,16
1784687350.646,real_q8_tensor_220w_mtp,1,32,12349,198.66,65,1800,9251,3,16
1784687350.646,real_q8_tensor_220w_mtp,2,100,12349,195.67,68,1860,9251,3,16
1784687350.646,real_q8_tensor_220w_mtp,3,79,12349,199.93,65,1830,9251,3,16
1784687351.242,real_q8_tensor_220w_mtp,0,100,12349,189.67,61,1890,9251,3,16
1784687351.242,real_q8_tensor_220w_mtp,1,32,12349,198.36,66,1815,9251,3,16
