t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784685940.194,real_q8_tensor_220w_ngram,0,0,11397,102.01,57,1710,9251,3,16
1784685940.194,real_q8_tensor_220w_ngram,1,0,11397,117.46,61,1710,9251,3,16
1784685940.194,real_q8_tensor_220w_ngram,2,0,11397,107.65,65,1710,9251,3,16
1784685940.194,real_q8_tensor_220w_ngram,3,0,11397,114.56,61,1710,9251,3,16
1784685940.778,real_q8_tensor_220w_ngram,0,0,11423,133.07,59,1935,9251,3,16
1784685940.778,real_q8_tensor_220w_ngram,1,0,11423,148.10,64,1905,9251,3,16
1784685940.778,real_q8_tensor_220w_ngram,2,0,11423,141.57,67,1905,9251,3,16
1784685940.778,real_q8_tensor_220w_ngram,3,0,11425,142.18,64,1935,9251,3,16
1784685941.394,real_q8_tensor_220w_ngram,0,27,11449,165.67,59,1935,9251,3,16
1784685941.394,real_q8_tensor_220w_ngram,1,19,11449,175.68,64,1905,9251,3,16
1784685941.394,real_q8_tensor_220w_ngram,2,17,11449,169.11,67,1905,9251,3,16
1784685941.394,real_q8_tensor_220w_ngram,3,22,11449,176.10,63,1935,9251,3,16
1784685941.965,real_q8_tensor_220w_ngram,0,27,11451,161.28,60,1890,9251,3,16
1784685941.965,real_q8_tensor_220w_ngram,1,19,11451,175.40,65,1800,9251,3,16
1784685941.965,real_q8_tensor_220w_ngram,2,17,11451,165.37,68,1845,9251,3,16
1784685941.965,real_q8_tensor_220w_ngram,3,22,11451,176.95,65,1815,9251,3,16
1784685942.540,real_q8_tensor_220w_ngram,0,54,11451,174.55,60,1875,9251,3,16
1784685942.540,real_q8_tensor_220w_ngram,1,85,11451,193.36,65,1800,9251,3,16
1784685942.540,real_q8_tensor_220w_ngram,2,85,11451,185.95,69,1755,9251,3,16
1784685942.540,real_q8_tensor_220w_ngram,3,48,11451,189.60,65,1815,9251,3,16
1784685943.107,real_q8_tensor_220w_ngram,0,54,11453,165.48,59,1935,9251,3,16
1784685943.107,real_q8_tensor_220w_ngram,1,85,11453,177.66,63,1905,9251,3,16
1784685943.107,real_q8_tensor_220w_ngram,2,85,11453,168.35,67,1905,9251,3,16
1784685943.107,real_q8_tensor_220w_ngram,3,48,11453,179.72,64,1935,9251,3,16
1784685943.698,real_q8_tensor_220w_ngram,0,34,11453,150.54,59,1935,9251,3,16
1784685943.698,real_q8_tensor_220w_ngram,1,43,11453,169.34,64,1905,9251,3,16
1784685943.698,real_q8_tensor_220w_ngram,2,42,11453,158.22,67,1905,9251,3,16
1784685943.698,real_q8_tensor_220w_ngram,3,24,11453,169.03,64,1935,9251,3,16
