t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784684115.163,real_q8_tensor_220w_none,0,0,11397,99.66,53,1710,9251,3,16
1784684115.163,real_q8_tensor_220w_none,1,0,11397,115.56,58,1710,9251,3,16
1784684115.163,real_q8_tensor_220w_none,2,0,11397,104.19,61,1710,9251,3,16
1784684115.163,real_q8_tensor_220w_none,3,0,11397,112.66,57,1710,9251,3,16
1784684115.755,real_q8_tensor_220w_none,0,0,11423,134.16,55,1950,9251,3,16
1784684115.755,real_q8_tensor_220w_none,1,0,11423,144.18,61,1920,9251,3,16
1784684115.755,real_q8_tensor_220w_none,2,0,11423,131.19,64,1920,9251,3,16
1784684115.755,real_q8_tensor_220w_none,3,0,11423,142.61,60,1950,9251,3,16
1784684116.369,real_q8_tensor_220w_none,0,100,11449,188.80,57,1905,9251,3,16
1784684116.369,real_q8_tensor_220w_none,1,100,11449,193.18,62,1815,9251,3,16
1784684116.369,real_q8_tensor_220w_none,2,100,11449,183.20,65,1860,9251,3,16
1784684116.369,real_q8_tensor_220w_none,3,100,11449,195.11,62,1845,9251,3,16
1784684116.964,real_q8_tensor_220w_none,0,100,11449,188.68,57,1830,9251,3,16
1784684116.964,real_q8_tensor_220w_none,1,100,11449,200.79,62,1725,9251,3,16
1784684116.964,real_q8_tensor_220w_none,2,100,11449,195.61,65,1785,9251,3,16
1784684116.964,real_q8_tensor_220w_none,3,100,11449,204.98,62,1755,9251,3,16
1784684117.542,real_q8_tensor_220w_none,0,94,11449,198.37,58,1830,9251,3,16
1784684117.542,real_q8_tensor_220w_none,1,94,11449,206.63,62,1740,9251,3,16
1784684117.542,real_q8_tensor_220w_none,2,94,11449,201.70,66,1785,9251,3,16
1784684117.542,real_q8_tensor_220w_none,3,93,11449,207.46,62,1755,9251,3,16
1784684118.117,real_q8_tensor_220w_none,0,94,11449,216.67,57,1755,9251,3,16
1784684118.117,real_q8_tensor_220w_none,1,94,11449,218.88,62,1680,9251,3,16
1784684118.117,real_q8_tensor_220w_none,2,94,11449,216.43,66,1665,9251,3,16
1784684118.117,real_q8_tensor_220w_none,3,93,11449,217.61,62,1695,9251,3,16
1784684118.691,real_q8_tensor_220w_none,0,93,11449,219.81,58,1830,9251,3,16
1784684118.691,real_q8_tensor_220w_none,1,94,11449,219.43,62,1725,9251,3,16
1784684118.691,real_q8_tensor_220w_none,2,94,11449,219.67,66,1785,9251,3,16
1784684118.691,real_q8_tensor_220w_none,3,94,11449,219.68,62,1725,9251,3,16
1784684119.264,real_q8_tensor_220w_none,0,93,11449,218.68,58,1815,9251,3,16
1784684119.264,real_q8_tensor_220w_none,1,94,11449,219.70,62,1710,9251,3,16
1784684119.264,real_q8_tensor_220w_none,2,94,11449,218.97,66,1755,9251,3,16
1784684119.264,real_q8_tensor_220w_none,3,94,11449,219.98,62,1740,9251,3,16
1784684119.838,real_q8_tensor_220w_none,0,93,11449,219.84,58,1830,9251,3,16
1784684119.838,real_q8_tensor_220w_none,1,93,11449,219.71,62,1725,9251,3,16
1784684119.838,real_q8_tensor_220w_none,2,94,11449,219.47,66,1785,9251,3,16
1784684119.838,real_q8_tensor_220w_none,3,94,11449,219.77,63,1725,9251,3,16
1784684120.435,real_q8_tensor_220w_none,0,93,11449,219.61,58,1830,9251,3,16
1784684120.435,real_q8_tensor_220w_none,1,93,11449,219.79,62,1740,9251,3,16
1784684120.435,real_q8_tensor_220w_none,2,93,11449,219.42,66,1770,9251,3,16
1784684120.435,real_q8_tensor_220w_none,3,94,11449,219.76,63,1740,9251,3,16
1784684121.038,real_q8_tensor_220w_none,0,93,11449,219.25,58,1785,9251,3,16
1784684121.038,real_q8_tensor_220w_none,1,93,11449,219.04,62,1695,9251,3,16
1784684121.038,real_q8_tensor_220w_none,2,93,11449,219.09,66,1740,9251,3,16
1784684121.038,real_q8_tensor_220w_none,3,94,11449,218.91,63,1710,9251,3,16
1784684121.619,real_q8_tensor_220w_none,0,94,11449,219.72,58,1830,9251,3,16
1784684121.619,real_q8_tensor_220w_none,1,93,11449,219.14,62,1725,9251,3,16
1784684121.619,real_q8_tensor_220w_none,2,93,11449,219.09,66,1785,9251,3,16
1784684121.619,real_q8_tensor_220w_none,3,94,11449,219.77,63,1740,9251,3,16
1784684122.189,real_q8_tensor_220w_none,0,45,11449,201.64,57,1950,9251,3,16
1784684122.189,real_q8_tensor_220w_none,1,100,11449,206.40,62,1920,9251,3,16
1784684122.189,real_q8_tensor_220w_none,2,54,11449,203.60,65,1920,9251,3,16
1784684122.189,real_q8_tensor_220w_none,3,78,11449,206.53,62,1935,9251,3,16
1784684122.784,real_q8_tensor_220w_none,0,91,11449,195.37,58,1815,9251,3,16
1784684122.784,real_q8_tensor_220w_none,1,74,11449,199.95,62,1725,9251,3,16
1784684122.784,real_q8_tensor_220w_none,2,73,11449,194.80,66,1770,9251,3,16
1784684122.784,real_q8_tensor_220w_none,3,92,11449,204.76,63,1740,9251,3,16
1784684123.378,real_q8_tensor_220w_none,0,91,11449,215.93,58,1830,9251,3,16
1784684123.378,real_q8_tensor_220w_none,1,74,11449,217.29,63,1725,9251,3,16
1784684123.378,real_q8_tensor_220w_none,2,73,11449,216.11,67,1785,9251,3,16
1784684123.378,real_q8_tensor_220w_none,3,92,11449,219.29,63,1740,9251,3,16
1784684123.972,real_q8_tensor_220w_none,0,94,11449,219.55,58,1830,9251,3,16
1784684123.972,real_q8_tensor_220w_none,1,94,11449,220.09,63,1725,9251,3,16
1784684123.972,real_q8_tensor_220w_none,2,94,11449,219.60,66,1785,9251,3,16
1784684123.972,real_q8_tensor_220w_none,3,94,11449,219.64,63,1740,9251,3,16
1784684124.546,real_q8_tensor_220w_none,0,94,11449,219.32,58,1770,9251,3,16
1784684124.546,real_q8_tensor_220w_none,1,94,11449,218.56,63,1695,9251,3,16
1784684124.546,real_q8_tensor_220w_none,2,94,11449,218.15,66,1725,9251,3,16
1784684124.546,real_q8_tensor_220w_none,3,94,11449,218.00,63,1695,9251,3,16
1784684125.141,real_q8_tensor_220w_none,0,93,11449,219.66,59,1830,9251,3,16
1784684125.141,real_q8_tensor_220w_none,1,93,11449,219.90,63,1725,9251,3,16
1784684125.141,real_q8_tensor_220w_none,2,93,11449,219.76,67,1785,9251,3,16
1784684125.141,real_q8_tensor_220w_none,3,94,11449,219.70,63,1740,9251,3,16
1784684125.731,real_q8_tensor_220w_none,0,94,11449,219.03,59,1800,9251,3,16
1784684125.731,real_q8_tensor_220w_none,1,94,11449,219.54,63,1710,9251,3,16
1784684125.731,real_q8_tensor_220w_none,2,94,11449,219.18,66,1740,9251,3,16
1784684125.731,real_q8_tensor_220w_none,3,94,11449,219.69,63,1725,9251,3,16
1784684126.333,real_q8_tensor_220w_none,0,94,11449,219.73,59,1815,9251,3,16
1784684126.333,real_q8_tensor_220w_none,1,94,11449,219.57,63,1680,9251,3,16
1784684126.333,real_q8_tensor_220w_none,2,94,11449,219.82,67,1770,9251,3,16
1784684126.333,real_q8_tensor_220w_none,3,93,11449,219.54,63,1725,9251,3,16
1784684126.941,real_q8_tensor_220w_none,0,94,11449,219.46,59,1800,9251,3,16
1784684126.941,real_q8_tensor_220w_none,1,94,11449,219.66,63,1725,9251,3,16
1784684126.941,real_q8_tensor_220w_none,2,94,11449,219.60,67,1755,9251,3,16
1784684126.941,real_q8_tensor_220w_none,3,93,11449,219.67,63,1725,9251,3,16
1784684127.518,real_q8_tensor_220w_none,0,100,11449,212.50,59,1905,9251,3,16
1784684127.518,real_q8_tensor_220w_none,1,70,11449,212.32,63,1905,9251,3,16
1784684127.518,real_q8_tensor_220w_none,2,68,11449,210.39,67,1890,9251,3,16
1784684127.518,real_q8_tensor_220w_none,3,100,11449,214.39,64,1920,9251,3,16
1784684128.098,real_q8_tensor_220w_none,0,100,11449,194.27,58,1935,9251,3,16
1784684128.098,real_q8_tensor_220w_none,1,70,11449,201.94,62,1920,9251,3,16
1784684128.098,real_q8_tensor_220w_none,2,68,11449,198.50,66,1920,9251,3,16
1784684128.098,real_q8_tensor_220w_none,3,100,11449,201.65,63,1935,9251,3,16
1784684128.667,real_q8_tensor_220w_none,0,93,11449,197.02,59,1935,9251,3,16
1784684128.667,real_q8_tensor_220w_none,1,57,11449,203.82,62,1920,9251,3,16
1784684128.667,real_q8_tensor_220w_none,2,56,11449,200.42,66,1920,9251,3,16
1784684128.667,real_q8_tensor_220w_none,3,33,11449,208.15,64,1935,9251,3,16
1784684129.240,real_q8_tensor_220w_none,0,94,11449,212.68,59,1815,9251,3,16
1784684129.240,real_q8_tensor_220w_none,1,94,11449,219.20,63,1725,9251,3,16
1784684129.240,real_q8_tensor_220w_none,2,94,11449,218.99,67,1785,9251,3,16
1784684129.240,real_q8_tensor_220w_none,3,94,11449,220.76,64,1755,9251,3,16
1784684129.839,real_q8_tensor_220w_none,0,94,11449,220.28,59,1815,9251,3,16
1784684129.839,real_q8_tensor_220w_none,1,94,11449,219.62,63,1725,9251,3,16
1784684129.839,real_q8_tensor_220w_none,2,94,11449,219.55,67,1770,9251,3,16
1784684129.839,real_q8_tensor_220w_none,3,94,11449,221.10,64,1740,9251,3,16
1784684130.413,real_q8_tensor_220w_none,0,94,11449,219.42,59,1800,9251,3,16
1784684130.413,real_q8_tensor_220w_none,1,94,11449,219.60,63,1680,9251,3,16
1784684130.413,real_q8_tensor_220w_none,2,94,11449,219.19,67,1770,9251,3,16
1784684130.413,real_q8_tensor_220w_none,3,94,11449,220.10,64,1695,9251,3,16
1784684131.004,real_q8_tensor_220w_none,0,94,11449,219.65,59,1815,9251,3,16
1784684131.004,real_q8_tensor_220w_none,1,94,11449,219.91,63,1725,9251,3,16
1784684131.004,real_q8_tensor_220w_none,2,94,11449,219.65,67,1785,9251,3,16
1784684131.004,real_q8_tensor_220w_none,3,94,11449,219.72,64,1740,9251,3,16
1784684131.579,real_q8_tensor_220w_none,0,94,11449,218.99,59,1770,9251,3,16
1784684131.579,real_q8_tensor_220w_none,1,94,11449,218.91,63,1695,9251,3,16
1784684131.579,real_q8_tensor_220w_none,2,94,11449,218.92,67,1740,9251,3,16
1784684131.579,real_q8_tensor_220w_none,3,94,11449,218.90,64,1695,9251,3,16
1784684132.151,real_q8_tensor_220w_none,0,94,11449,219.67,59,1815,9251,3,16
1784684132.151,real_q8_tensor_220w_none,1,94,11449,219.67,63,1725,9251,3,16
1784684132.151,real_q8_tensor_220w_none,2,94,11449,219.82,67,1785,9251,3,16
1784684132.151,real_q8_tensor_220w_none,3,94,11449,219.68,64,1740,9251,3,16
1784684132.724,real_q8_tensor_220w_none,0,94,11449,219.04,59,1800,9251,3,16
1784684132.724,real_q8_tensor_220w_none,1,94,11449,219.56,63,1710,9251,3,16
1784684132.724,real_q8_tensor_220w_none,2,94,11449,219.08,67,1740,9251,3,16
1784684132.724,real_q8_tensor_220w_none,3,94,11449,219.39,64,1725,9251,3,16
1784684133.321,real_q8_tensor_220w_none,0,94,11449,212.40,60,1875,9251,3,16
1784684133.321,real_q8_tensor_220w_none,1,100,11449,214.40,64,1800,9251,3,16
1784684133.321,real_q8_tensor_220w_none,2,94,11449,212.42,68,1845,9251,3,16
1784684133.321,real_q8_tensor_220w_none,3,94,11449,214.18,64,1830,9251,3,16
1784684133.920,real_q8_tensor_220w_none,0,79,11449,201.39,59,1935,9251,3,16
1784684133.920,real_q8_tensor_220w_none,1,100,11449,202.27,64,1920,9251,3,16
