t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784671758.854,syn_q6xl_tensor_220w,0,0,4,19.08,55,210,405,1,16
1784671758.854,syn_q6xl_tensor_220w,1,0,4,35.22,59,210,405,1,16
1784671758.854,syn_q6xl_tensor_220w,2,0,4,21.96,62,210,405,1,16
1784671758.854,syn_q6xl_tensor_220w,3,0,4,23.03,57,210,405,1,16
1784671759.621,syn_q6xl_tensor_220w,0,0,225,39.12,57,1710,9251,3,16
1784671759.621,syn_q6xl_tensor_220w,1,3,225,44.98,60,1710,9251,3,16
1784671759.621,syn_q6xl_tensor_220w,2,0,19,26.11,63,1710,9501,3,16
1784671759.621,syn_q6xl_tensor_220w,3,0,4,25.72,57,210,405,1,16
1784671760.314,syn_q6xl_tensor_220w,0,0,225,96.32,57,1710,9251,3,16
1784671760.314,syn_q6xl_tensor_220w,1,0,225,80.22,61,1710,9251,3,16
1784671760.314,syn_q6xl_tensor_220w,2,0,225,58.89,64,1710,9251,3,16
1784671760.314,syn_q6xl_tensor_220w,3,0,225,55.19,60,1710,9251,3,16
1784671760.905,syn_q6xl_tensor_220w,0,0,225,96.00,57,1710,9251,3,16
1784671760.905,syn_q6xl_tensor_220w,1,0,225,110.76,61,1710,9251,3,16
1784671760.905,syn_q6xl_tensor_220w,2,0,225,100.21,64,1710,9251,3,16
1784671760.905,syn_q6xl_tensor_220w,3,0,225,107.44,60,1710,9251,3,16
1784671761.487,syn_q6xl_tensor_220w,0,0,225,95.98,57,1710,9251,3,16
1784671761.487,syn_q6xl_tensor_220w,1,0,225,110.80,61,1710,9251,3,16
1784671761.487,syn_q6xl_tensor_220w,2,0,225,100.12,64,1710,9251,3,16
1784671761.487,syn_q6xl_tensor_220w,3,0,225,107.44,60,1710,9251,3,16
1784671762.055,syn_q6xl_tensor_220w,0,13,6015,96.01,57,1710,9251,3,16
1784671762.055,syn_q6xl_tensor_220w,1,12,6015,111.07,61,1710,9251,3,16
1784671762.055,syn_q6xl_tensor_220w,2,14,6015,100.59,64,1710,9251,3,16
1784671762.055,syn_q6xl_tensor_220w,3,13,6015,108.49,60,1710,9251,3,16
1784671762.626,syn_q6xl_tensor_220w,0,13,6015,96.24,56,1710,9251,3,16
1784671762.626,syn_q6xl_tensor_220w,1,14,6015,111.15,61,1710,9251,3,16
1784671762.626,syn_q6xl_tensor_220w,2,14,6015,100.90,64,1710,9251,3,16
1784671762.626,syn_q6xl_tensor_220w,3,12,6015,108.65,60,1710,9251,3,16
1784671763.196,syn_q6xl_tensor_220w,0,13,6015,96.23,56,1710,9251,3,16
1784671763.196,syn_q6xl_tensor_220w,1,12,6015,111.07,60,1710,9251,3,16
1784671763.196,syn_q6xl_tensor_220w,2,13,6015,101.04,64,1710,9251,3,16
1784671763.196,syn_q6xl_tensor_220w,3,14,6015,108.68,60,1710,9251,3,16
1784671763.767,syn_q6xl_tensor_220w,0,15,6015,96.06,56,1710,9251,3,16
1784671763.767,syn_q6xl_tensor_220w,1,14,6015,110.96,60,1710,9251,3,16
1784671763.767,syn_q6xl_tensor_220w,2,13,6015,101.18,64,1710,9251,3,16
1784671763.767,syn_q6xl_tensor_220w,3,14,6015,108.79,60,1710,9251,3,16
1784671764.338,syn_q6xl_tensor_220w,0,13,6015,95.88,56,1710,9251,3,16
1784671764.338,syn_q6xl_tensor_220w,1,14,6015,110.89,60,1710,9251,3,16
1784671764.338,syn_q6xl_tensor_220w,2,13,6015,101.26,63,1710,9251,3,16
1784671764.338,syn_q6xl_tensor_220w,3,13,6015,108.73,60,1710,9251,3,16
1784671764.931,syn_q6xl_tensor_220w,0,14,6015,95.93,56,1710,9251,3,16
1784671764.931,syn_q6xl_tensor_220w,1,15,6015,110.87,60,1710,9251,3,16
1784671764.931,syn_q6xl_tensor_220w,2,15,6015,101.04,63,1710,9251,3,16
1784671764.931,syn_q6xl_tensor_220w,3,14,6015,108.54,60,1710,9251,3,16
1784671765.545,syn_q6xl_tensor_220w,0,14,6015,96.04,56,1710,9251,3,16
1784671765.545,syn_q6xl_tensor_220w,1,14,6015,110.79,60,1710,9251,3,16
1784671765.545,syn_q6xl_tensor_220w,2,13,6015,100.91,63,1710,9251,3,16
1784671765.545,syn_q6xl_tensor_220w,3,13,6015,108.48,59,1710,9251,3,16
1784671766.116,syn_q6xl_tensor_220w,0,0,6015,95.66,56,1710,9251,3,16
1784671766.116,syn_q6xl_tensor_220w,1,0,6015,110.66,60,1710,9251,3,16
1784671766.116,syn_q6xl_tensor_220w,2,0,6015,100.50,63,1710,9251,3,16
1784671766.116,syn_q6xl_tensor_220w,3,0,6015,108.23,59,1710,9251,3,16
1784671766.709,syn_q6xl_tensor_220w,0,1,6099,95.42,56,1710,9251,3,16
1784671766.709,syn_q6xl_tensor_220w,1,2,6099,110.49,60,1710,9251,3,16
1784671766.709,syn_q6xl_tensor_220w,2,1,6099,100.23,63,1710,9251,3,16
1784671766.709,syn_q6xl_tensor_220w,3,12,6099,108.03,59,1710,9251,3,16
1784671767.316,syn_q6xl_tensor_220w,0,0,6707,95.65,56,1710,9251,3,16
1784671767.316,syn_q6xl_tensor_220w,1,0,6707,110.68,60,1710,9251,3,16
1784671767.316,syn_q6xl_tensor_220w,2,2,6707,100.59,63,1710,9251,3,16
1784671767.316,syn_q6xl_tensor_220w,3,2,6707,108.23,59,1710,9251,3,16
1784671767.932,syn_q6xl_tensor_220w,0,0,6783,141.72,59,1875,9251,3,16
1784671767.932,syn_q6xl_tensor_220w,1,0,6781,144.94,64,1800,9251,3,16
1784671767.932,syn_q6xl_tensor_220w,2,2,6781,141.69,67,1830,9251,3,16
1784671767.932,syn_q6xl_tensor_220w,3,2,6781,148.15,64,1815,9251,3,16
1784671768.505,syn_q6xl_tensor_220w,0,100,6799,209.59,60,1860,9251,3,16
1784671768.505,syn_q6xl_tensor_220w,1,100,6799,205.97,65,1785,9251,3,16
1784671768.505,syn_q6xl_tensor_220w,2,100,6799,207.31,68,1845,9251,3,16
1784671768.505,syn_q6xl_tensor_220w,3,100,6799,209.82,65,1815,9251,3,16
1784671769.094,syn_q6xl_tensor_220w,0,100,401,172.94,57,1935,9251,3,16
1784671769.094,syn_q6xl_tensor_220w,1,100,401,181.35,62,1920,9251,3,16
1784671769.094,syn_q6xl_tensor_220w,2,100,401,173.40,65,1920,9251,3,16
1784671769.094,syn_q6xl_tensor_220w,3,87,401,176.93,61,1935,9251,3,16
1784671769.661,syn_q6xl_tensor_220w,0,9,4,115.97,57,1935,9501,3,16
1784671769.661,syn_q6xl_tensor_220w,1,0,4,135.01,61,1920,9501,3,16
1784671769.661,syn_q6xl_tensor_220w,2,0,4,123.10,64,1920,9501,3,16
1784671769.661,syn_q6xl_tensor_220w,3,0,4,134.31,61,1935,9501,3,16
1784671770.262,syn_q6xl_tensor_220w,0,0,225,113.36,56,1935,9251,3,16
1784671770.262,syn_q6xl_tensor_220w,1,0,225,134.78,61,1920,9251,3,16
1784671770.262,syn_q6xl_tensor_220w,2,0,19,122.55,64,1920,9501,3,16
1784671770.262,syn_q6xl_tensor_220w,3,0,4,132.54,61,1935,9501,3,16
1784671770.931,syn_q6xl_tensor_220w,0,0,225,112.36,56,1935,9251,3,16
1784671770.931,syn_q6xl_tensor_220w,1,0,225,133.84,61,1920,9251,3,16
1784671770.931,syn_q6xl_tensor_220w,2,0,225,121.63,64,1920,9251,3,16
1784671770.931,syn_q6xl_tensor_220w,3,0,225,132.40,61,1710,9251,3,16
1784671771.494,syn_q6xl_tensor_220w,0,0,225,105.75,55,1710,9251,3,16
1784671771.494,syn_q6xl_tensor_220w,1,0,225,124.92,60,1710,9251,3,16
1784671771.494,syn_q6xl_tensor_220w,2,0,225,111.68,63,1710,9251,3,16
1784671771.494,syn_q6xl_tensor_220w,3,0,225,119.51,59,1710,9251,3,16
1784671772.084,syn_q6xl_tensor_220w,0,0,6015,95.09,55,1710,9251,3,16
1784671772.084,syn_q6xl_tensor_220w,1,0,6015,110.29,60,1710,9251,3,16
1784671772.084,syn_q6xl_tensor_220w,2,0,6015,100.24,63,1710,9251,3,16
1784671772.084,syn_q6xl_tensor_220w,3,0,6015,107.76,59,1710,9251,3,16
1784671772.654,syn_q6xl_tensor_220w,0,17,6015,95.31,55,1710,9251,3,16
1784671772.654,syn_q6xl_tensor_220w,1,16,6015,110.29,59,1710,9251,3,16
1784671772.654,syn_q6xl_tensor_220w,2,15,6015,100.33,63,1710,9251,3,16
1784671772.654,syn_q6xl_tensor_220w,3,17,6015,107.94,59,1710,9251,3,16
1784671773.225,syn_q6xl_tensor_220w,0,15,6015,95.49,55,1710,9251,3,16
1784671773.225,syn_q6xl_tensor_220w,1,16,6015,110.54,59,1710,9251,3,16
1784671773.225,syn_q6xl_tensor_220w,2,14,6015,100.68,63,1710,9251,3,16
1784671773.225,syn_q6xl_tensor_220w,3,12,6015,108.25,59,1710,9251,3,16
1784671773.795,syn_q6xl_tensor_220w,0,16,6015,95.44,55,1710,9251,3,16
1784671773.795,syn_q6xl_tensor_220w,1,16,6015,110.38,59,1710,9251,3,16
1784671773.795,syn_q6xl_tensor_220w,2,17,6015,100.52,62,1710,9251,3,16
1784671773.795,syn_q6xl_tensor_220w,3,16,6015,108.05,59,1710,9251,3,16
1784671774.366,syn_q6xl_tensor_220w,0,16,6015,95.18,55,1710,9251,3,16
1784671774.366,syn_q6xl_tensor_220w,1,18,6015,110.27,59,1710,9251,3,16
1784671774.366,syn_q6xl_tensor_220w,2,16,6015,100.36,62,1710,9251,3,16
1784671774.366,syn_q6xl_tensor_220w,3,18,6015,107.91,59,1710,9251,3,16
