t_unix,tag,index,utilization.gpu,memory.used,power.draw,temperature.gpu,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1784680364.973,syn_q8_tensor_220w,0,0,1,104.23,56,1935,9501,3,16
1784680364.973,syn_q8_tensor_220w,1,0,1,118.41,60,1905,9501,3,16
1784680364.973,syn_q8_tensor_220w,2,0,1,109.89,64,1920,9501,3,16
1784680364.973,syn_q8_tensor_220w,3,0,1,121.24,61,1935,9501,3,16
1784680365.676,syn_q8_tensor_220w,0,3,225,114.70,56,1935,9251,3,16
1784680365.676,syn_q8_tensor_220w,1,0,19,132.99,61,1905,9501,3,16
1784680365.676,syn_q8_tensor_220w,2,0,4,120.64,64,1920,9501,3,16
1784680365.676,syn_q8_tensor_220w,3,0,4,132.07,61,1935,9501,3,16
1784680366.352,syn_q8_tensor_220w,0,0,225,112.78,56,1935,9251,3,16
1784680366.352,syn_q8_tensor_220w,1,0,225,132.54,61,1905,9251,3,16
1784680366.352,syn_q8_tensor_220w,2,0,225,120.46,64,1920,9251,3,16
1784680366.352,syn_q8_tensor_220w,3,0,225,132.77,61,1935,9251,3,16
1784680366.915,syn_q8_tensor_220w,0,0,225,107.47,55,1710,9251,3,16
1784680366.915,syn_q8_tensor_220w,1,0,225,121.93,59,1710,9251,3,16
1784680366.915,syn_q8_tensor_220w,2,0,225,112.80,63,1710,9251,3,16
1784680366.915,syn_q8_tensor_220w,3,0,225,123.64,60,1710,9251,3,16
1784680367.536,syn_q8_tensor_220w,0,0,225,104.50,55,1710,9251,3,16
1784680367.536,syn_q8_tensor_220w,1,0,225,118.11,59,1710,9251,3,16
1784680367.536,syn_q8_tensor_220w,2,0,225,108.62,63,1710,9251,3,16
1784680367.536,syn_q8_tensor_220w,3,0,225,116.89,59,1710,9251,3,16
1784680368.130,syn_q8_tensor_220w,0,0,225,95.02,55,1710,9251,3,16
1784680368.130,syn_q8_tensor_220w,1,0,225,110.27,59,1710,9251,3,16
1784680368.130,syn_q8_tensor_220w,2,0,225,99.38,63,1710,9251,3,16
1784680368.130,syn_q8_tensor_220w,3,0,225,116.89,59,1710,9251,3,16
1784680368.731,syn_q8_tensor_220w,0,0,225,95.02,55,1710,9251,3,16
1784680368.731,syn_q8_tensor_220w,1,0,225,110.27,59,1710,9251,3,16
1784680368.731,syn_q8_tensor_220w,2,0,225,99.38,63,1710,9251,3,16
1784680368.731,syn_q8_tensor_220w,3,0,225,107.29,59,1710,9251,3,16
1784680369.522,syn_q8_tensor_220w,0,0,225,94.88,55,1710,9251,3,16
1784680369.522,syn_q8_tensor_220w,1,0,225,110.11,59,1710,9251,3,16
1784680369.522,syn_q8_tensor_220w,2,0,225,99.33,62,1710,9251,3,16
1784680369.522,syn_q8_tensor_220w,3,0,225,107.15,59,1710,9251,3,16
1784680370.110,syn_q8_tensor_220w,0,0,225,94.49,55,1710,9251,3,16
1784680370.110,syn_q8_tensor_220w,1,0,225,109.95,59,1710,9251,3,16
1784680370.110,syn_q8_tensor_220w,2,0,225,99.14,62,1710,9251,3,16
1784680370.110,syn_q8_tensor_220w,3,0,225,107.15,59,1710,9251,3,16
1784680370.703,syn_q8_tensor_220w,0,0,225,94.49,55,1710,9251,3,16
1784680370.703,syn_q8_tensor_220w,1,0,225,109.95,59,1710,9251,3,16
1784680370.703,syn_q8_tensor_220w,2,0,225,99.14,62,1710,9251,3,16
1784680370.703,syn_q8_tensor_220w,3,0,225,106.97,59,1710,9251,3,16
1784680371.295,syn_q8_tensor_220w,0,0,225,94.29,54,1710,9251,3,16
1784680371.295,syn_q8_tensor_220w,1,0,225,109.82,59,1710,9251,3,16
1784680371.295,syn_q8_tensor_220w,2,0,225,98.84,62,1710,9251,3,16
1784680371.295,syn_q8_tensor_220w,3,0,225,106.85,58,1710,9251,3,16
1784680371.882,syn_q8_tensor_220w,0,0,225,94.29,54,1710,9251,3,16
1784680371.882,syn_q8_tensor_220w,1,0,225,109.82,59,1710,9251,3,16
1784680371.882,syn_q8_tensor_220w,2,0,225,98.84,62,1710,9251,3,16
1784680371.882,syn_q8_tensor_220w,3,0,225,106.85,58,1710,9251,3,16
1784680372.466,syn_q8_tensor_220w,0,25,6721,94.21,54,1710,9251,3,16
1784680372.466,syn_q8_tensor_220w,1,11,6721,109.77,58,1710,9251,3,16
1784680372.466,syn_q8_tensor_220w,2,0,6721,98.76,62,1710,9251,3,16
1784680372.466,syn_q8_tensor_220w,3,0,6721,106.61,58,1710,9251,3,16
1784680373.065,syn_q8_tensor_220w,0,13,6721,94.36,54,1710,9251,3,16
1784680373.065,syn_q8_tensor_220w,1,12,6721,109.88,58,1710,9251,3,16
1784680373.065,syn_q8_tensor_220w,2,14,6721,98.93,62,1710,9251,3,16
1784680373.065,syn_q8_tensor_220w,3,13,6721,106.77,58,1710,9251,3,16
1784680373.656,syn_q8_tensor_220w,0,12,6721,94.80,54,1710,9251,3,16
1784680373.656,syn_q8_tensor_220w,1,11,6721,110.01,58,1710,9251,3,16
1784680373.656,syn_q8_tensor_220w,2,12,6721,99.06,61,1710,9251,3,16
1784680373.656,syn_q8_tensor_220w,3,11,6721,106.94,58,1710,9251,3,16
1784680374.249,syn_q8_tensor_220w,0,14,6721,94.52,54,1710,9251,3,16
1784680374.249,syn_q8_tensor_220w,1,12,6721,109.92,58,1710,9251,3,16
1784680374.249,syn_q8_tensor_220w,2,13,6721,99.05,61,1710,9251,3,16
1784680374.249,syn_q8_tensor_220w,3,12,6721,106.90,58,1710,9251,3,16
1784680374.843,syn_q8_tensor_220w,0,14,6721,94.39,54,1710,9251,3,16
1784680374.843,syn_q8_tensor_220w,1,13,6721,109.90,58,1710,9251,3,16
1784680374.843,syn_q8_tensor_220w,2,13,6721,99.06,61,1710,9251,3,16
1784680374.843,syn_q8_tensor_220w,3,13,6721,106.89,58,1710,9251,3,16
1784680375.418,syn_q8_tensor_220w,0,16,6721,94.43,54,1710,9251,3,16
1784680375.418,syn_q8_tensor_220w,1,15,6721,109.95,58,1710,9251,3,16
1784680375.418,syn_q8_tensor_220w,2,17,6721,99.13,61,1710,9251,3,16
1784680375.418,syn_q8_tensor_220w,3,17,6721,106.82,58,1710,9251,3,16
1784680376.017,syn_q8_tensor_220w,0,16,6721,94.43,53,1710,9251,3,16
1784680376.017,syn_q8_tensor_220w,1,13,6721,109.86,58,1710,9251,3,16
